Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR12873300_1	SRR12873300_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63484.0	19.1 Mbp	0.0	301.0	51.0	1.4854136475332367	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12873300_2	SRR12873300_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63484.0	19.1 Mbp	0.0	301.0	49.0	3.7537017201184546	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12873301_1	SRR12873301_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45573.0	13.7 Mbp	0.0	301.0	52.0	1.9287736159568163	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12873301_2	SRR12873301_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45573.0	13.7 Mbp	0.0	301.0	50.0	5.191670506659645	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12873302_1	SRR12873302_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41649.0	12.5 Mbp	0.0	301.0	53.0	2.4874546807846527	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12873302_2	SRR12873302_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41649.0	12.5 Mbp	0.0	301.0	50.0	5.651996446493313	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12873303_1	SRR12873303_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55558.0	16.7 Mbp	0.0	301.0	55.0	1.6901256344720832	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12873303_2	SRR12873303_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55558.0	16.7 Mbp	0.0	301.0	52.0	4.422405414161777	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12873304_1	SRR12873304_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51667.0	15.5 Mbp	0.0	301.0	55.0	1.755472545338417	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12873304_2	SRR12873304_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51667.0	15.5 Mbp	0.0	301.0	52.0	4.329649486132348	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12873305_1	SRR12873305_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46215.0	13.9 Mbp	0.0	301.0	53.0	2.5835767607919506	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12873305_2	SRR12873305_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46215.0	13.9 Mbp	0.0	301.0	52.0	5.186627718273288	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12873306_1	SRR12873306_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47629.0	14.3 Mbp	0.0	301.0	55.0	1.8371160427470656	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12873306_2	SRR12873306_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47629.0	14.3 Mbp	0.0	301.0	52.0	5.383274895546831	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
