SRR12873300	SRR128733001	SRR12873301	SRR128733011	SRR12873302	SRR128733021	SRR12873303	SRR128733031	SRR12873304	SRR128733041	SRR12873305	SRR128733051	SRR12873306	SRR128733061	SRR12873307	SRR128733071	SRR12873308	SRR128733081	SRR12873309	SRR128733091	SRR12873310	SRR128733101	SRR12873311	SRR128733111	SRR12873312	SRR128733121	SRR12873313	SRR128733131	SRR12873314	SRR128733141	SRR12873315	SRR128733151	SRR12873316	SRR128733161	SRR12873317	SRR128733171	SRR12873318	SRR128733181	SRR12873319	SRR128733191	SRR12873320	SRR128733201	SRR12873321	SRR128733211	SRR12873322	SRR128733221	SRR12873323	SRR128733231	SRR12873324	SRR128733241	SRR12873325	SRR128733251	SRR12873326	SRR128733261	SRR12873327	SRR128733271	SRR12873328	SRR128733281
ASV_0001	298	298	696	696	502	502	9232	9232	5584	5584	142	142	3597	3597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1079	1079	0	0	0	0	28	28	11	11	0	0	0	0	1047	1047	3639	3639	136	136	628	628	3166	3166	72	72
ASV_0002	18	18	12	12	0	0	41	41	103	103	0	0	601	601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	161	0	0	310	310	2061	2061	2407	2407	537	537	4933	4933	0	0	1116	1116	253	253	8145	8145	385	385	4394	4394
ASV_0003	0	0	0	0	0	0	2428	2428	6704	6704	0	0	5172	5172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1113	1113	0	0	112	112	0	0	47	47	74	74	73	73	0	0	106	106	294	294	1400	1400	5268	5268	268	268
ASV_0004	240	240	430	430	415	415	6470	6470	4069	4069	125	125	2580	2580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	617	617	0	0	0	0	37	37	22	22	0	0	0	0	661	661	2061	2061	97	97	547	547	2635	2635	59	59
ASV_0005	0	0	0	0	27	27	25	25	62	62	0	0	383	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	93	0	0	311	311	2754	2754	2447	2447	498	498	3592	3592	0	0	652	652	157	157	5564	5564	283	283	3333	3333
ASV_0006	10266	10266	4822	4822	406	406	15	15	0	0	40	40	35	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	108	0	0	46	46	12	12	26	26	85	85	152	152	329	329	317	317	173	173	570	570	0	0	307	307
ASV_0007	0	0	0	0	0	0	1713	1713	4759	4759	0	0	3646	3646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	679	679	0	0	126	126	0	0	58	58	56	56	53	53	0	0	61	61	209	209	1035	1035	4404	4404	215	215
ASV_0008	0	0	39	39	0	0	643	643	1503	1503	0	0	1537	1537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	621	621	0	0	260	260	66	66	687	687	204	204	123	123	0	0	1248	1248	767	767	2530	2530	3899	3899	1915	1915
ASV_0009	1614	1614	2143	2143	2226	2226	245	245	128	128	1145	1145	206	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402	402	0	0	22	22	252	252	369	369	81	81	291	291	1614	1614	727	727	157	157	391	391	80	80	992	992
ASV_0010	7829	7829	2897	2897	337	337	17	17	0	0	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	64	0	0	53	53	10	10	23	23	92	92	110	110	207	207	233	233	106	106	433	433	25	25	257	257
ASV_0011	0	0	0	0	0	0	473	473	1046	1046	64	64	1035	1035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	365	0	0	289	289	97	97	713	713	187	187	101	101	0	0	696	696	512	512	1838	1838	3286	3286	1690	1690
ASV_0012	288	288	2474	2474	1128	1128	2358	2358	1013	1013	831	831	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	525	525	0	0	0	0	514	514	0	0	0	0	0	0	632	632	0	0	0	0	215	215	0	0	0	0
ASV_0013	0	0	0	0	0	0	285	285	235	235	36	36	198	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	374	0	0	487	487	58	58	2092	2092	751	751	13	13	0	0	2769	2769	1028	1028	564	564	0	0	342	342
ASV_0014	1162	1162	1194	1194	1722	1722	159	159	82	82	997	997	132	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	243	0	0	26	26	331	331	355	355	57	57	203	203	944	944	354	354	97	97	299	299	53	53	783	783
ASV_0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	0	0	15	15	0	0	8671	8671	0	0	0	0	58	58	119	119	0	0	71	71
ASV_0016	7	7	0	0	0	0	465	465	415	415	9	9	690	690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1327	1327	0	0	91	91	0	0	48	48	0	0	2227	2227	14	14	373	373	118	118	759	759	1034	1034	375	375
ASV_0017	0	0	0	0	0	0	234	234	185	185	48	48	146	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	226	0	0	585	585	98	98	2423	2423	636	636	0	0	0	0	1642	1642	693	693	428	428	42	42	346	346
ASV_0018	259	259	1482	1482	1005	1005	1846	1846	745	745	754	754	34	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	304	0	0	0	0	716	716	0	0	19	19	0	0	393	393	0	0	0	0	162	162	0	0	0	0
ASV_0019	0	0	26	26	0	0	282	282	546	546	36	36	597	597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	485	0	0	268	268	46	46	238	238	295	295	60	60	0	0	331	331	699	699	459	459	476	476	2452	2452
ASV_0020	196	196	2327	2327	748	748	0	0	0	0	669	669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2681	2681	0	0	25	25	0	0	591	591	0	0	0	0	19	19	0	0	0	0
ASV_0021	127	127	1377	1377	653	653	0	0	0	0	661	661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4025	4025	0	0	0	0	0	0	349	349	0	0	0	0	0	0	0	0	0	0
ASV_0022	92	92	442	442	240	240	68	68	50	50	3737	3737	65	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	377	0	0	36	36	59	59	246	246	143	143	0	0	223	223	320	320	797	797	91	91	37	37	91	91
ASV_0023	301	301	319	319	314	314	27	27	14	14	368	368	89	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2058	2058	0	0	0	0	22	22	0	0	0	0	383	383	1515	1515	126	126	0	0	46	46	0	0	1510	1510
ASV_0024	10	10	0	0	12	12	0	0	0	0	42	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	171	0	0	10	10	536	536	0	0	3350	3350	2155	2155	0	0	0	0	0	0	325	325	0	0	103	103
ASV_0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	6425	6425	0	0	0	0	30	30	85	85	0	0	53	53
ASV_0026	0	0	0	0	0	0	0	0	0	0	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	110	0	0	0	0	797	797	5	5	2942	2942	1716	1716	0	0	0	0	28	28	213	213	0	0	90	90
ASV_0027	3	3	0	0	0	0	315	315	312	312	8	8	488	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	711	711	0	0	125	125	14	14	54	54	36	36	1736	1736	7	7	199	199	64	64	554	554	873	873	332	332
ASV_0028	66	66	266	266	172	172	0	0	0	0	3494	3494	45	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	182	0	0	36	36	82	82	217	217	103	103	0	0	135	135	152	152	506	506	63	63	0	0	79	79
ASV_0029	972	972	638	638	2253	2253	0	0	0	0	491	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	44	0	0	0	0	82	82	42	42	36	36	0	0	995	995	10	10	0	0	20	20	0	0	14	14
ASV_0030	0	0	24	24	0	0	227	227	391	391	50	50	348	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	283	0	0	259	259	59	59	269	269	265	265	59	59	0	0	171	171	495	495	301	301	403	403	1869	1869
