Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR12873300_1	98.51458635246676	51.0	301.0	301	40.0	63484.0
SRR12873300_2	96.24629827988154	49.0	301.0	301	50.0	63484.0
SRR12873301_1	98.07122638404319	52.0	301.0	301	40.0	45573.0
SRR12873301_2	94.80832949334035	50.0	301.0	301	50.0	45573.0
SRR12873302_1	97.51254531921535	53.0	301.0	301	50.0	41649.0
SRR12873302_2	94.34800355350669	50.0	301.0	301	50.0	41649.0
SRR12873303_1	98.30987436552792	55.0	301.0	301	50.0	55558.0
SRR12873303_2	95.57759458583823	52.0	301.0	301	50.0	55558.0
SRR12873304_1	98.24452745466158	55.0	301.0	301	50.0	51667.0
SRR12873304_2	95.67035051386765	52.0	301.0	301	50.0	51667.0
SRR12873305_1	97.41642323920804	53.0	301.0	301	50.0	46215.0
SRR12873305_2	94.81337228172671	52.0	301.0	301	50.0	46215.0
SRR12873306_1	98.16288395725293	55.0	301.0	301	50.0	47629.0
SRR12873306_2	94.61672510445317	52.0	301.0	301	50.0	47629.0
SRR12873307_1	94.33414497096834	61.0	301.0	301	40.0	21356.0
SRR12873307_2	91.23899606667915	61.0	301.0	301	40.0	21356.0
SRR12873308_1	93.8623056733293	60.0	301.0	301	40.0	19812.0
SRR12873308_2	91.19725418938017	61.0	301.0	301	40.0	19812.0
SRR12873309_1	93.72102823430257	61.0	301.0	301	40.0	23730.0
SRR12873309_2	91.11672987779183	62.0	301.0	301	50.0	23730.0
SRR12873310_1	92.89795572861557	60.0	301.0	301	40.0	23627.0
SRR12873310_2	90.00719515808186	61.0	301.0	301	40.0	23627.0
SRR12873311_1	97.31139646869984	57.0	301.0	301	40.0	14952.0
SRR12873311_2	92.20171214553237	57.0	301.0	301	50.0	14952.0
SRR12873312_1	98.35957524716221	46.0	301.0	301	40.0	13655.0
SRR12873312_2	94.58073965580374	46.0	301.0	301	50.0	13655.0
SRR12873313_1	98.22568762278978	43.0	301.0	301	40.0	16288.0
SRR12873313_2	93.6824656188605	42.0	301.0	301	50.0	16288.0
SRR12873314_1	96.5916044547791	52.0	301.0	301	40.0	16342.0
SRR12873314_2	93.89915555011626	52.0	301.0	301	50.0	16342.0
SRR12873315_1	96.75896028414594	52.0	301.0	301	40.0	24776.0
SRR12873315_2	93.88924765902486	53.0	301.0	301	50.0	24776.0
SRR12873316_1	97.99464945057375	53.0	301.0	301	50.0	45229.0
SRR12873316_2	95.17787260386035	51.0	301.0	301	50.0	45229.0
SRR12873317_1	97.53504108264862	49.0	301.0	301	40.0	10345.0
SRR12873317_2	95.55340744320928	49.0	301.0	301	50.0	10345.0
SRR12873318_1	96.9417068104477	54.0	301.0	301	50.0	45254.0
SRR12873318_2	92.34984752729041	52.0	301.0	301	50.0	45254.0
SRR12873319_1	97.96193781156187	53.0	301.0	301	50.0	72618.0
SRR12873319_2	93.27026357101545	50.0	301.0	301	50.0	72618.0
SRR12873320_1	97.54432370603374	52.0	301.0	301	50.0	55952.0
SRR12873320_2	93.35859307978266	50.0	301.0	301	40.0	55952.0
SRR12873321_1	97.2862489204491	55.0	301.0	301	50.0	52105.0
SRR12873321_2	93.44784569619038	54.0	301.0	301	50.0	52105.0
SRR12873322_1	98.28532613684345	53.0	301.0	301	40.0	54471.0
SRR12873322_2	94.9202327844174	52.0	301.0	301	50.0	54471.0
SRR12873323_1	97.604054345482	53.0	301.0	301	50.0	46370.0
SRR12873323_2	94.71856803968083	52.0	301.0	301	50.0	46370.0
SRR12873324_1	97.85835969822341	53.0	301.0	301	50.0	57526.0
SRR12873324_2	94.60765566874109	51.0	301.0	301	50.0	57526.0
SRR12873325_1	97.28970040448822	54.0	301.0	301	50.0	43759.0
SRR12873325_2	94.8033547384538	52.0	301.0	301	50.0	43759.0
SRR12873326_1	98.18430330987994	52.0	301.0	301	50.0	64383.0
SRR12873326_2	94.95363682959787	50.0	301.0	301	50.0	64383.0
SRR12873327_1	98.15456813089249	56.0	301.0	301	50.0	47306.0
SRR12873327_2	95.7531814146197	53.0	301.0	301	50.0	47306.0
SRR12873328_1	97.57909215955983	53.0	301.0	301	50.0	54525.0
SRR12873328_2	94.24117377349839	51.0	301.0	301	50.0	54525.0
